iter	RMSE
0	3.10707802
1	3.094197348
2	3.081915438
3	3.069523201
4	3.057321916
5	3.044208286
6	3.032397883
7	3.020275007
8	3.007992713
9	2.996534774
10	2.983547337
11	2.97264148
12	2.961599894
13	2.950611941
14	2.940059129
15	2.928712796
16	2.918172127
17	2.907315604
18	2.896260823
19	2.886630184
20	2.876460048
21	2.865839507
22	2.854503592
23	2.844840292
24	2.834752286
25	2.82406423
26	2.813962522
27	2.804864086
28	2.794531151
29	2.785190585
30	2.775882545
31	2.766991098
32	2.757075129
33	2.748108125
34	2.739314356
35	2.729651914
36	2.720786916
37	2.712357852
38	2.704166187
39	2.696150635
40	2.687498401
41	2.680019269
42	2.671986238
43	2.663687457
44	2.656412618
45	2.647352181
46	2.63984228
47	2.631908691
48	2.624878247
49	2.617154169
50	2.60918087
51	2.602466782
52	2.595393334
53	2.58837278
54	2.580737729
55	2.574011185
56	2.566503032
57	2.559224868
58	2.552029655
59	2.545700214
60	2.53930451
61	2.532147266
62	2.525477914
63	2.519170286
64	2.51265679
65	2.50645784
66	2.499732788
67	2.494319028
68	2.488208356
69	2.482085875
70	2.476412143
71	2.471286451
72	2.46606595
73	2.460717847
74	2.455465118
75	2.449840673
76	2.444262587
77	2.4392065
78	2.434655792
79	2.42968292
80	2.423847684
81	2.418957124
82	2.41395495
83	2.408961154
84	2.403512546
85	2.39846218
86	2.394343617
87	2.38931954
88	2.385615737
89	2.38064512
90	2.375285681
91	2.370431459
92	2.366171243
93	2.361030779
94	2.356693208
95	2.353089696
96	2.348520808
97	2.344589935
98	2.340482312
99	2.335779452
100	2.331992188
101	2.327824249
102	2.323780894
103	2.319744836
104	2.315101681
105	2.31142826
106	2.306837018
107	2.30284603
108	2.299307601
109	2.295345188
110	2.290897778
111	2.287459282
112	2.283899734
113	2.279885978
114	2.275970319
115	2.2722462
116	2.268429571
117	2.26492479
118	2.261741156
119	2.257547099
120	2.253448204
121	2.249775573
122	2.246796517
123	2.243116492
124	2.240368757
125	2.236698929
126	2.23341541
127	2.230101623
128	2.226949849
129	2.224198554
130	2.221240675
131	2.216533233
132	2.212435374
133	2.208993424
134	2.206302827
135	2.203542286
136	2.200373318
137	2.197043743
138	2.193720187
139	2.19080317
140	2.187519377
141	2.184544471
142	2.181629673
143	2.179359242
144	2.176772821
145	2.172875263
146	2.170299149
147	2.167723066
148	2.164218837
149	2.161771268
150	2.15873662
151	2.15592933
152	2.154015002
153	2.151570593
154	2.149761692
155	2.147306115
156	2.144402888
157	2.141589411
158	2.139303014
159	2.136557202
160	2.134669313
161	2.132191124
162	2.130335475
163	2.127651006
164	2.125381108
165	2.123543555
166	2.121668722
167	2.119428246
168	2.116946543
169	2.114517445
170	2.112542457
171	2.11017821
172	2.107744155
173	2.106037405
174	2.103334729
175	2.101620242
176	2.099255205
177	2.097751485
178	2.095062452
179	2.093016756
180	2.09056859
181	2.088073117
182	2.086065571
183	2.084435713
184	2.082058879
185	2.079384747
186	2.077858114
187	2.076294409
188	2.073728439
189	2.07098942
190	2.068920988
191	2.06721013
192	2.065989334
193	2.064270327
194	2.061499402
195	2.059485863
196	2.057545497
197	2.056226582
198	2.054842942
199	2.053181864
200	2.051430478
201	2.049747511
202	2.047755835
203	2.04625594
204	2.043937133
205	2.042605565
206	2.04109304
207	2.039263199
208	2.037214067
209	2.036182539
210	2.035083175
211	2.033311866
212	2.031936588
213	2.03022004
214	2.02782911
215	2.026535328
216	2.025162892
217	2.023676593
218	2.021145736
219	2.018941142
220	2.01632156
221	2.015141435
222	2.01341111
223	2.012153727
224	2.009810348
225	2.008266359
226	2.006313604
227	2.004759228
228	2.00255249
229	2.000700268
230	1.999127985
231	1.996431526
232	1.994327079
233	1.993188782
234	1.991855494
235	1.990301042
236	1.988920208
237	1.987293799
238	1.986271973
239	1.984793165
240	1.983789393
241	1.982317832
242	1.980746029
243	1.979479849
244	1.977634032
245	1.976225479
246	1.974559014
247	1.972277306
248	1.971544708
249	1.970119637
250	1.968447327
251	1.966791998
252	1.965627466
253	1.963834885
254	1.962532055
255	1.960459459
256	1.959172067
257	1.958142738
258	1.957010398
259	1.954978691
260	1.953015668
261	1.951694349
