iter	Passed	Remaining
0	9	18788
1	20	20705
2	30	20383
3	38	19262
4	47	18948
5	55	18581
6	64	18319
7	72	18110
8	80	17873
9	88	17687
10	97	17632
11	107	17733
12	115	17699
13	124	17721
14	134	17732
15	142	17623
16	150	17557
17	160	17642
18	168	17574
19	178	17640
20	187	17701
21	197	17730
22	207	17808
23	216	17785
24	226	17899
25	235	17897
26	246	18045
27	256	18055
28	265	18044
29	275	18062
30	284	18066
31	293	18079
32	302	18058
33	311	18031
34	321	18058
35	328	17943
36	339	18000
37	348	17998
38	358	18021
39	366	17980
40	376	17969
41	385	17980
42	394	17974
43	405	18039
44	413	17972
45	424	18046
46	435	18111
47	446	18150
48	455	18137
49	465	18173
50	476	18205
51	486	18208
52	496	18241
53	505	18231
54	514	18205
55	524	18204
56	534	18218
57	543	18210
58	552	18188
59	561	18144
60	569	18108
61	578	18085
62	588	18096
63	598	18098
64	607	18074
65	615	18046
66	624	18014
67	633	18002
68	642	17975
69	652	17993
70	661	17981
71	673	18044
72	683	18053
73	693	18050
74	702	18034
75	711	18010
76	720	17997
77	729	17971
78	740	18003
79	751	18026
80	760	18006
81	770	18030
82	780	18019
83	788	17995
84	799	18011
85	808	18001
86	818	17998
87	828	17996
88	838	18002
89	849	18028
90	858	18013
91	867	17987
92	877	17999
93	886	17980
94	895	17964
95	905	17959
96	914	17932
97	922	17897
98	930	17876
99	939	17855
100	948	17826
101	957	17810
102	967	17811
103	977	17821
104	986	17806
105	996	17800
106	1005	17786
107	1015	17790
108	1024	17766
109	1034	17768
110	1043	17756
111	1055	17789
112	1077	18000
113	1089	18022
114	1099	18017
115	1110	18031
116	1120	18032
117	1131	18041
118	1140	18033
119	1150	18026
120	1159	17999
121	1167	17971
122	1175	17944
123	1184	17922
124	1193	17895
125	1201	17868
126	1211	17862
127	1220	17856
128	1230	17840
129	1238	17813
130	1246	17789
131	1256	17780
132	1267	17785
133	1275	17762
134	1284	17739
135	1292	17715
136	1301	17696
137	1309	17664
138	1316	17632
139	1324	17603
140	1333	17578
141	1341	17555
142	1350	17531
143	1359	17517
144	1368	17501
145	1375	17469
146	1383	17443
147	1391	17416
148	1400	17393
149	1408	17367
150	1416	17350
151	1425	17328
152	1433	17304
153	1441	17277
154	1450	17264
155	1458	17244
156	1468	17233
157	1484	17306
158	1493	17297
159	1503	17285
160	1511	17261
161	1519	17244
162	1529	17233
163	1537	17214
164	1546	17203
165	1556	17192
166	1565	17178
167	1573	17162
168	1582	17146
169	1590	17125
170	1599	17105
171	1609	17105
172	1619	17098
173	1627	17077
174	1635	17057
175	1643	17037
176	1656	17057
177	1665	17047
178	1674	17040
179	1684	17028
180	1693	17020
181	1703	17012
182	1712	17002
183	1721	16993
184	1730	16980
185	1741	16982
186	1764	17103
