num_cast,genders_0_cast,runtime_to_mean_year,budget_to_mean_year,log_budget,genders_1_cast,genders_2_cast,num_crew,genders_0_crew,genders_1_crew,genders_2_crew,tagline_word_count,overview_word_count,title_word_count,has_homepage,popularity,runtime,release_year,release_month,release_dayofweek,num_genres,popularity2,rating,totalVotes,isOriginalLanguageEng,budget_runtime_ratio,budget_popularity_ratio,budget_year_ratio,budget_popularity2_ratio,production_countries_count,production_companies_count,mean_pop1_bud,mean_pop2_bud,mean_year_bud,mean_pop1_rate,mean_pop2_rate,mean_rate_tV,dep_Directing_num,dep_Writing_num,dep_Production_num,dep_Sound_num,dep_Camera_num,dep_Editing_num,dep_Art_num,dep_Costume___Make_Up_num,dep_Crew_num,dep_Lighting_num,dep_Visual_Effects_num,dep_Actors_num,job_Animation_num,__genre____Animation__,__genre____Family__,__genre____Foreign__,__genre____Fantasy__,__genre____Adventure__,__genre____Thriller__,__genre____Romance__,__genre____Crime__,__genre____Science_Fiction__,__genre____Mystery__,__genre____War__,__genre____Horror__,__genre____Drama__,__genre____Documentary__,__genre____Western__,__genre____Action__,__genre____Music__,__genre____Comedy__,__genre____History__,__original_language____af__,__original_language____ar__,__original_language____bm__,__original_language____bn__,__original_language____ca__,__original_language____cn__,__original_language____cs__,__original_language____da__,__original_language____de__,__original_language____el__,__original_language____en__,__original_language____es__,__original_language____fa__,__original_language____fi__,__original_language____fr__,__original_language____he__,__original_language____hi__,__original_language____hu__,__original_language____id__,__original_language____is__,__original_language____it__,__original_language____ja__,__original_language____ka__,__original_language____kn__,__original_language____ko__,__original_language____ml__,__original_language____mr__,__original_language____nb__,__original_language____nl__,__original_language____no__,__original_language____pl__,__original_language____pt__,__original_language____ro__,__original_language____ru__,__original_language____sr__,__original_language____sv__,__original_language____ta__,__original_language____te__,__original_language____th__,__original_language____tr__,__original_language____ur__,__original_language____vi__,__original_language____xx__,__original_language____zh__,__production_companies____Paramount_Pictures__,__production_companies____Columbia_Pictures__,__production_companies____Touchstone_Pictures__,__production_companies____Warner_Bros___,__production_companies____Columbia_Pictures_Corporation__,__production_companies____Metro_Goldwyn_Mayer__MGM___,__production_companies____Universal_Pictures__,__production_companies____New_Line_Cinema__,__production_companies____Twentieth_Century_Fox_Film_Corporation__,__production_companies____Walt_Disney_Pictures__,__production_companies____small__,__production_countries____Japan__,__production_countries____Canada__,__production_countries____Germany__,__production_countries____United_States_of_America__,__production_countries____France__,__production_countries____Spain__,__production_countries____United_Kingdom__,__production_countries____India__,__production_countries____Russia__,__production_countries____Italy__,__production_countries____Australia__,__production_countries____small__,revenue
24,6,0.8391948172142527,0.5550518531995412,16.454567959008102,8,10,72,59,0,13,11,29,5,0,6.575393,93.0,2015,2,4,1,10.4,5.0,482.0,1,150537.63440860214,2129150.30325944,6947.890818858561,1346153.846153846,1,3,14000000.0,34500000.0,25222868.673076924,5.0,5.55,282.873417721519,4,2,9,10,8,2,12,13,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.326300330915824
20,0,1.054942600616429,1.1939123509452665,17.50439003707821,10,10,9,1,4,4,13,69,6,0,8.248895,113.0,2004,8,4,4,15.229,6.4,1528.0,1,353982.30088495574,4849134.338599292,19960.079840319362,2626567.7326154048,1,1,40000000.0,40000000.0,33503296.928229664,6.4,6.4,773.123076923077,1,1,4,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.370959224205944
51,31,0.9760915666850651,0.13408347431780007,15.009433329466965,7,13,64,49,4,11,10,21,1,1,64.29999,105.0,2014,10,4,1,26.082,8.4,7314.0,1,31428.571428571428,51321.93644198079,1638.5302879841113,126524.03956751783,1,3,3300000.0,3300000.0,24611534.096875,8.4,8.4,5870.0,3,1,18,9,4,6,5,5,9,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.38751199098573
7,4,1.1429887882045768,0.04571071566243112,13.997832948091215,1,2,3,3,0,0,1,106,1,1,3.174936,122.0,2012,3,4,2,5.531,7.5,115.0,0,9836.065573770491,377960.3746343233,596.4214711729622,216958.95859699874,1,0,1200000.0,6733333.333333333,26252050.15081967,7.5,6.766666666666667,1402.0056497175142,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.588099342704055
4,0,1.10182475752096,0.0,0.0,0,4,2,2,0,0,1,32,2,0,1.14807,118.0,2009,2,3,2,,,,0,0.0,0.0,0.0,,1,0,0.0,,27900943.376760565,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.18261470922214
4,2,0.8098971946332113,1.1799876097876902,15.894952224644102,0,2,11,7,0,4,1,28,7,0,0.743274,83.0,1987,8,3,3,0.928,5.1,8.0,1,96385.5421686747,10763190.963224867,4026.170105686965,8620689.655172413,0,0,8000000.0,8000000.0,6779732.205357143,5.1,5.1,377.8252427184466,1,4,1,0,0,0,1,0,0,0,4,0,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.997740387737252
14,4,0.8619259714329596,0.5332916827283631,16.454567959008102,3,7,77,60,6,11,7,39,2,1,7.286477,92.0,2012,8,3,2,9.438,5.9,846.0,1,152173.91304347827,1921367.4866468392,6958.2504970178925,1483365.119728756,2,2,14000000.0,14000000.0,26252050.15081967,5.9,5.9,634.063122923588,4,4,8,8,11,9,4,12,11,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,2,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.263396044879872
4,3,0.7842051190423013,0.0,0.0,0,1,1,0,1,0,4,80,2,0,1.949044,84.0,2004,1,3,1,2.841,7.5,26.0,1,0.0,0.0,0.0,0.0,0,0,0.0,14333333.333333334,33503296.928229664,7.5,6.5,1402.0056497175142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.765820807889137
12,5,0.9401185366850604,0.0,0.0,1,6,8,1,0,7,5,75,3,0,6.902423,100.0,1996,2,4,5,7.549,6.4,152.0,1,0.0,0.0,0.0,0.0,1,3,0.0,6500000.0,22802116.398550726,6.4,6.1,773.123076923077,1,2,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,1,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.351454194007484
20,2,0.8394403730846103,0.1899479413317861,15.607270193858982,5,13,11,3,4,4,7,50,3,0,4.672036,91.0,2003,4,2,2,5.76,6.9,107.0,1,65934.06593406593,1284236.6796831188,2995.5067398901647,1041666.6666666667,1,1,6000000.0,6000000.0,31587602.15,6.9,6.9,1053.1174242424242,1,2,2,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.74671748362726
